"2005/078/1/51","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Mr. Ewart A.D.S.P.","Man standing in garden and facing camera

Original manuscript caption: Mr. Ewart A.D.S.P.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-51[V2].tif","[Copyright] Bristol Record Office","204524"
"2005/078/1/52","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Mr. Ewart A.D.S.P.","Profile view of man in garden

Original manuscript caption: Mr. Ewart A.D.S.P.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-52[V2].tif","[Copyright] Bristol Record Office","204525"
"2005/078/1/53","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Uniformed servant with dead Thomson's gazelle","Uniformed man standing by dead gazelle 

Original manuscript caption: One of my orderlies + Thomson's Gazelle","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-53[V2].tif","[Copyright] Bristol Record Office","204526"
"2005/078/1/54","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Uniformed servant with dead Thomson's gazelle","Uniformed man standing by dead gazelle 

Original manuscript caption: One of my orderlies + Thomson's Gazelle","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-54[V2].tif","[Copyright] Bristol Record Office","204527"
"2005/078/1/55","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Uniformed servant with dead Thomson's gazelle","Uniformed man standing by dead gazelle 

Original manuscript caption: One of my orderlies + Thomson's Gazelle","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-55[v2].tif","[Copyright] Bristol Record Office","204528"
"2005/078/1/56","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Uniformed servant with dead Thomson's gazelle","Uniformed man standing by dead gazelle 

Original manuscript caption: One of my orderlies + Thomson's Gazelle","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-56[v2].tif","[Copyright] Bristol Record Office","204529"
"2005/078/1/57","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Kenyan shamba","Man (probably Frank Elliott) with hands in pockets standing in cultivated land

Original manuscript caption: A bit of my shamba at Nairobi","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-57[v2].tif","[Copyright] Bristol Record Office","204530"
"2005/078/1/6","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Capt. Robertson-Eustace and an Inspector of Police","Three white officials in discussion.

Original manuscript caption: Capt. Robertson-Eustace and an Inspector of Police","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-7[v2].tif","[Copyright] Bristol Record Office","204478"
"2005/078/1/60","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Men bending over an African antelope","Uniformed man (FE's orderly) bending over an African antelope

Original manuscript caption: Harte-beeste or Kongoni.  The finishing touches","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-60.tif","[Copyright] Bristol Record Office","204534"
"2005/078/1/61","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Uniformed servant with a Grant's Gazelle","Uniformed servant standing with a dead Grant's Gazelle

Original manuscript caption: My orderly + a Grant's Gazelle","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-61.tif","[Copyright] Bristol Record Office","204535"
"2005/078/1/62","Elliott","Aden","Yemen","default","default","default","default","default","default","default","default","Item","View of Aden","Distant view of Aden with trees beyond

Original manuscript caption: View of Aden","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-62.tif","[Copyright] Bristol Record Office","204536"
"2005/078/1/63","Elliott","Yemen","Aden","default","default","default","default","default","default","default","default","Item","One of the tanks, Aden","Shot of the Cisterns of Tawila, Aden.

Original manuscript caption: One of the tanks, Aden","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-63[v2].tif","[Copyright] Bristol Record Office","204537"
"2005/078/1/64","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Port Said + entrance to the canal","View of Port Said from the deck of a ship

Original manuscript caption: Port Said + entrance to the canal","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-64[v2].tif","[Copyright] Bristol Record Office","204538"
"2005/078/1/65","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","The Suez Canal","A view of the Suez canal with ship's deck in foreground

Original manuscript caption: The Suez Canal","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-65[v2].tif","[Copyright] Bristol Record Office","204539"
"2005/078/1/66","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","The Suez Canal","A view of the Suez canal with ship's deck in foreground

Original manuscript caption: The Suez Canal","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-66[v2].tif","[Copyright] Bristol Record Office","204540"
"2005/078/1/67","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","View of Port Said","View of Port Said from the deck of a ship

Original manuscript caption: Off Port Said","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-67[v2].tif","[Copyright] Bristol Record Office","204541"
"2005/078/1/68","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Entering harbour at Port Said","View of Port Said from the deck of a ship

Original manuscript caption: Entering Port Said Harbour","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-68[v2].tif","[Copyright] Bristol Record Office","204542"
"2005/078/1/69","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","A view of Suez","Steam ship on the Suez Canal

Original manuscript caption: A view of Suez","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-69[v2].tif","[Copyright] Bristol Record Office","204543"
"2005/078/1/7","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Rhino feeding","Very distant shot of rhino across a field

Original manuscript caption: Rhino feeding","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-6[v2].tif","[Copyright] Bristol Record Office","204479"
"2005/078/1/70","Elliott","Yemen","Aden","default","default","default","default","default","default","default","default","Item","An Aden street.  S.S.Pundusa in distance","View of street with figures, carts and a ship in the distance

Original manuscript caption: An Aden street.  S.S.Pundusa in distance","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-70[v2].tif","[Copyright] Bristol Record Office","204544"
"2005/078/1/71","Elliott","Yemen","Aden","default","default","default","default","default","default","default","default","Item","An Aden Street","View of a curving road with buildings and horse drawn wagon

Original manuscript caption: An Aden Street","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-71[v2].tif","[Copyright] Bristol Record Office","204545"
"2005/078/1/72","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Suez","View of buildings seen across the Suez canal

Original manuscript caption: Suez","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-72[v2].tif","[Copyright] Bristol Record Office","204546"
"2005/078/1/73","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Entrance to the canal from Suez","View of the Suez canal with ship's rail in foreground

Original manuscript caption: Entrance to the canal from Suez","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-73.tif","[Copyright] Bristol Record Office","204547"
"2005/078/1/74","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Suez Canal","View of the Suez canal with ship's deck to one side

Original manuscript caption: The Canal","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-74[v2].tif","[Copyright] Bristol Record Office","204548"
"2005/078/1/75","Elliott","Yemen","Aden","default","default","default","default","default","default","default","default","Item","A fort at Aden","View of a hill fort

Original manuscript caption: A fort at Aden","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-75[v2].tif","[Copyright] Bristol Record Office","204549"
"2005/078/1/76","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Entrance to Port Said","View across water with sailing ship

Original manuscript caption: Entrance to Port Said","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-76[v2].tif","[Copyright] Bristol Record Office","204550"
"2005/078/1/77","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Suez, from the deck of a ship","View of the Suez canal from the deck of a ship

Original manuscript caption: Suez","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-77[v2].tif","[Copyright] Bristol Record Office","204551"
"2005/078/1/78","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Suez, from the deck of a ship","View of Suez across the canal from the deck of a ship

Original manuscript caption: Suez","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-78[v2].tif","[Copyright] Bristol Record Office","204552"
"2005/078/1/79","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Harbour at Port Said","View of the harbourside at Port Said and a steamer, from the deck of a ship

Original manuscript caption: Port Said","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-79[v2].tif","[Copyright] Bristol Record Office","204553"
"2005/078/1/8","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Mr Hope, Acting Commissioner, Jubaland","Portrait of man standing on verandah of a house

Original manuscript caption: Mr Hope, Acting Commissioner, Jubaland","c. 1910","default","1 b/w photograph glued into album","BEC 2005-078-1-8[v2].tif","[Copyright] Bristol Record Office","204480"
"2005/078/1/80","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Jetty at Port Said","View of the jetty and harbourside at Port Said from the deck of a ship

Original manuscript caption: Port Said","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-80[v2].tif","[Copyright] Bristol Record Office","204554"
"2005/078/1/81","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Distant view of Suez","Suez canal with steam ships

Original manuscript caption: Distant view of Suez","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-81[v2].tif","[Copyright] Bristol Record Office","205203"
"2005/078/1/82","Elliott","Yemen","Aden","default","default","default","default","default","default","default","default","Item","Aden by moonlight","Hills of Aden seen across water

Original manuscript caption: Aden by moonlight","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-82[v2].tif","[Copyright] Bristol Record Office","205204"
"2005/078/1/83","Elliott","Yemen","Aden","default","default","default","default","default","default","default","default","Item","View of the Gulf of Aden","The Gulf taken across land

Original manuscript caption: View of Gulf of Aden","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-83[v2].tif","[Copyright] Bristol Record Office","205205"
"2005/078/1/84","Elliott","Yemen","Aden","default","default","default","default","default","default","default","default","Item","The tanks, Aden","View of the concrete walls of the Cisterns of Tawila, Aden

Original manuscript caption: The tanks, Aden","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-84[v2].tif","[Copyright] Bristol Record Office","205206"
"2005/078/1/85","Elliott","Yemen","Aden","default","default","default","default","default","default","default","default","Item","The road pass to Aden","View of road passing through hills

Original manuscript caption: The road pass to Aden","c. 1910","1 photograph","1 b/w photograph glued into album, blurred across the centre","BEC 2005-078-1-85[v2].tif","[Copyright] Bristol Record Office","205207"
"2005/078/1/86","Elliott","Yemen","Aden","default","default","default","default","default","default","default","default","Item","Aden","View of buildings with wall in foreground

Original manuscript caption: Aden","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-86[v2].tif","[Copyright] Bristol Record Office","205208"
"2005/078/1/87","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Tombstone of Charles Henry Ryall","Tombstone in Nairobi South Cemetery of Charles Henry Ryall, Superintendent on the Uganda Railway, who in 1900 was killed by a man-eating lion at Kima Station

Original manuscript caption: Taken from a railway carriage by a man-eater","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-87[v2].tif","[Copyright] Bristol Record Office","205209"
"2005/078/1/88","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Tombstone of Walter Ernest Stuart","Tombstone in Nairobi South Cemetery of Walter Ernest Stuart, who was killed by a lion in 1904

Original manuscript caption: The result of bad shooting","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-88[v2].tif","[Copyright] Bristol Record Office","205210"
"2005/078/1/89","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Tombstone of Basil Culverhouse de Gex","Tombstone in Nairobi South Cemetery of Basil Culverhouse de Gex, killed while lion hunting, 1901

Original manuscript caption: Lost his nerve & was killed by a dying lion","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-89[v2].tif","[Copyright] Bristol Record Office","205211"
"2005/078/1/9","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Capt. Rigby A.D.S.P.","Exterior shot of man in uniform facing camera

Original manuscript caption: Capt. Rigby A.D.S.P.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-9[v2].tif","[Copyright] Bristol Record Office","204481"
"2005/078/1/90","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali recruits & Sergt. Inster","Police troops on parade, being addressed by a European man in a pith helmet

Original manuscript caption: Somali recruits & Sergt. Inster","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-90[v2].tif","[Copyright] Bristol Record Office","205212"
"2005/078/1/91","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","The Police office Mombasa","Single storey building with European man in foreground

Original manuscript caption: The Police office Mombasa","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-91[v2].tif","[Copyright] Bristol Record Office","205213"
"2005/078/1/92","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Guard mounting at Mombasa","Police troops lined up at arms with tents behind

Original manuscript caption: Guard mounting at Mombasa","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-92[v2].tif","[Copyright] Bristol Record Office","205214"
"2005/078/1/93","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Men in uniform at the top of a gibbet","Group of policemen in uniform at the top of a gibbet

Original manuscript caption: By man shall his blood be shed","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-93.tif","[Copyright] Bristol Record Office","205215"
"2005/078/1/94","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Men in uniform at the top of a gibbet","Group of policemen in uniform at the top of a gibbet

Original manuscript caption: By man shall his blood be shed","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-94.tif","[Copyright] Bristol Record Office","205216"
"2005/078/1/95","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","""By man shall his blood be shed""","N.B. Disturbing image: shadowy image of hanged man at bottom of scaffold

Original manuscript caption: By man shall his blood be shed","c. 1910","1 photograph","1 b/w photograph glued into album, with some light damage","2005-078-1-95.tif","[Copyright] Bristol Record Office","205217"
"2005/078/1/96","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Men in uniform at the top of a gibbet","Group of policemen in uniform at the top of a gibbet

Original manuscript caption: By man shall his blood be shed","c. 1910","1 photograph","1 b/w photograph glued into album, with some damage from light spots","2005-078-1-96.tif","[Copyright] Bristol Record Office","205218"
"2005/078/1/98","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Jubaland Bush","Bush country seen from above, Somalia

Original manuscript caption: Juberland Bush","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-98.tif","[Copyright] Bristol Record Office","205220"
"2005/078/1/99","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Street scene taken from balcony","Shot of road running past buildings down to water

Original manuscript caption: Snap of Road from my balcony","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-99[v2].tif","[Copyright] Bristol Record Office","205221"
"2005/078/2","Elliott","Kenya","Somalia","Jubaland","South Africa","Aden","Yemen","default","default","default","default","Series","Correspondence and notes","File of papers mainly consisting of Francis Elliott's letters home to his mother, and assorted other correspondence. Includes two bundles of letters written from the Boer War in 1902, and a number of other letters to family members, mainly his mother, written from his postings in Africa and on his travels between 1907 and 1915. One envelope was inscribed ""Frank's letters to his mother 1915"" but actually contains correspondence from 1907 onwards. The folder also contains a press cutting with Elliott's obituary, a page of copied text from the East African Standard detailing his 1918 memorial and several manuscript copies of sympathy letters received by his family from his friends. There is also a page of notes on the location of his grave.","1902-1918","1 folder containing 51 documents","1 folder containing 51 documents: manuscript letters and notes. Some of the writing is faint, and many of the letters are creased from being folded in envelopes for many years.","default","default","default"
"2005/078/3","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Series","Printed material","Printed material relating to Francis Elliott and his life/ death in Jubaland.","c.1912, 1931","1 volume, 1 pamphlet, 1 map","default","default","default","default"
"2005/078/3/1","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Jubaland and its Inhabitants","""Jubaland and its Inhabitants"" is Francis Elliott's apparently unpublished account of the geography, history and people of Jubaland, the part of Somalia where he was based as a District Commissioner with the Somali Police. The book contains chapters on the geographical features of Jubaland, the history, genealogy and customs of various Somali tribes, an account of the British involvement in the region and pullout charts of police road reports showing the time taken to travel between parts of Jubaland and potential hazards encountered en route. Inside the front of the book is a press cutting containing notice of Elliott's death in WW1.","c.1912","1 volume","1 hardback leather bound volume consisting of c. 75 typescript pages","default","default","default"
"2005/078/3/2","Elliott","East Africa","default","default","default","default","default","default","default","default","default","Item","The War Graves of the British Empire - Cemeteries in East Africa 60-133","A register, published 1931 by the Imperial War Graves Commission, containing short biographical details of those who died during the First World War and are buried in cemeteries in East Africa (except Kenya & Tanganyika, Mauritius and the Seychelles). The grave locations are described and diagrams of some cemeteries are included. Elliott's entry is on page 13.","1931","1 pamphlet","1 pamphlet containing 51 pages","default","default","default"
"2005/078","Elliott","Yemen","Somalia","Jubaland","Kenya","South Africa","Egypt","Aden","default","default","default","Fonds","Elliott collection","Francis Elliott was born in Gainsborough, Lincolnshire, on January 1st 1881, the son of Rev Canon J. R. Elliott, former headmaster of Queen Elizabeth Grammar School, Gainsborough where Elliott was a pupil. He fought in the Boer War as a 2nd Lieutenant in the 3rd Battalion Lincolnshire Regiment. In 1907 he joined the East Africa Police and in 1908 was made District Superintendent of Police for Jubaland, British East Africa (now Somalia). In 1913 he was elected Fellow of the Royal Geographical Society for his research on Jubaland. On the outbreak of WW1, Elliott rejoined the Lincolnshire Regiment, attached to the King's African Rifles. He worked as an intelligence officer against the Marehan Somalis, and was mentioned in despatches. In 1915 Elliott saw action on the border with German East Africa as a temporary Captain in the K.A.R. and on his return was made District Commissioner of Jubaland. Owing to K.A.R. regular troops being deployed elsewhere in East Africa as the war waged on, the defence of Jubaland was left to African police troops working under Elliott. He was killed alongside a number of his men at Serenli on the Juba River on 2nd February 1916, aged 35, during an attack on his station by hostile Somalis, and was buried at Bardera.

This collection contains Elliott's photograph album detailing his life in Kenya and Somalia before WW1, a folder of his letters home, his book ""Jubaland and its Inhabitants"", a pamphlet describing his war grave and a 1908 map of Jubaland used during the course of his Police work.

This catalogue was produced with support from the National Cataloguing Grants Programme for Archives","1902-1931","default","default","2005-078.pdf","[Copyright] Bristol Record Office","167532"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT [IFC].tif","[Copyright] Bristol Record Office","204376"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p01.tif","[Copyright] Bristol Record Office","204378"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p02.tif","[Copyright] Bristol Record Office","204379"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p03.tif","[Copyright] Bristol Record Office","204380"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p04.tif","[Copyright] Bristol Record Office","204381"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p05.tif","[Copyright] Bristol Record Office","204382"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p06.tif","[Copyright] Bristol Record Office","204383"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p07.tif","[Copyright] Bristol Record Office","204384"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p08.tif","[Copyright] Bristol Record Office","204385"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p09.tif","[Copyright] Bristol Record Office","204386"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p10.tif","[Copyright] Bristol Record Office","204387"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p11.tif","[Copyright] Bristol Record Office","204388"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p12.tif","[Copyright] Bristol Record Office","204389"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p13.tif","[Copyright] Bristol Record Office","204390"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p14.tif","[Copyright] Bristol Record Office","204391"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p15.tif","[Copyright] Bristol Record Office","204392"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p16.tif","[Copyright] Bristol Record Office","204393"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p17.tif","[Copyright] Bristol Record Office","204394"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p18.tif","[Copyright] Bristol Record Office","204395"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p19.tif","[Copyright] Bristol Record Office","204396"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p20.tif","[Copyright] Bristol Record Office","204397"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p21.tif","[Copyright] Bristol Record Office","204398"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p22.tif","[Copyright] Bristol Record Office","204399"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p23.tif","[Copyright] Bristol Record Office","204400"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p24.tif","[Copyright] Bristol Record Office","204401"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p25.tif","[Copyright] Bristol Record Office","204402"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p26.tif","[Copyright] Bristol Record Office","204403"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p27.tif","[Copyright] Bristol Record Office","204404"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p28.tif","[Copyright] Bristol Record Office","204405"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p29.tif","[Copyright] Bristol Record Office","204406"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p30.tif","[Copyright] Bristol Record Office","204407"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p31.tif","[Copyright] Bristol Record Office","204408"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p32.tif","[Copyright] Bristol Record Office","204409"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p33.tif","[Copyright] Bristol Record Office","204410"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p34.tif","[Copyright] Bristol Record Office","204411"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p35.tif","[Copyright] Bristol Record Office","204412"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p36.tif","[Copyright] Bristol Record Office","204413"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p37.tif","[Copyright] Bristol Record Office","204414"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p38.tif","[Copyright] Bristol Record Office","204415"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p39.tif","[Copyright] Bristol Record Office","204416"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p40.tif","[Copyright] Bristol Record Office","204417"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p41.tif","[Copyright] Bristol Record Office","204418"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p42.tif","[Copyright] Bristol Record Office","204419"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p43.tif","[Copyright] Bristol Record Office","204420"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p44.tif","[Copyright] Bristol Record Office","204421"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p45.tif","[Copyright] Bristol Record Office","204422"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p46.tif","[Copyright] Bristol Record Office","204423"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p47.tif","[Copyright] Bristol Record Office","204424"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p48.tif","[Copyright] Bristol Record Office","204425"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p49.tif","[Copyright] Bristol Record Office","204426"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p50.tif","[Copyright] Bristol Record Office","204427"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p51.tif","[Copyright] Bristol Record Office","204428"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p52.tif","[Copyright] Bristol Record Office","204429"
